BIN,IssuingCountry,ChargebackFlag
161764,UNITED KINGDOM,0.0
161779,UNITED KINGDOM,0.0
161787,UNITED KINGDOM,0.0
178100,CHINA,0.0
178108,CHINA,0.0
178109,CHINA,0.0
178111,CHINA,0.0
178120,CHINA,0.0
178127,CHINA,0.0
178128,CHINA,0.0
178142,CHINA,0.0
178188,CHINA,0.0
178189,CHINA,0.0
180000,JAPAN,0.0
180003,JAPAN,0.0
180012,JAPAN,0.0
180018,JAPAN,0.0
180023,JAPAN,0.0
180040,JAPAN,0.0
180042,JAPAN,0.0
180050,JAPAN,0.0
180059,JAPAN,0.0
180060,JAPAN,0.0
180077,JAPAN,0.0
180086,JAPAN,0.0
180095,JAPAN,0.0
180098,JAPAN,0.0
181309,INDIA,0.0
181310,INDIA,0.0
181349,INDIA,0.0
181350,INDIA,0.0
181354,INDIA,0.0
181358,INDIA,0.0
181364,INDIA,0.0
181372,INDIA,0.0
181373,INDIA,1.0
181376,INDIA,0.0
181382,INDIA,0.0
181393,INDIA,0.0
181395,INDIA,0.0
192016,GERMANY,0.0
192021,GERMANY,0.0
192029,GERMANY,0.0
192030,GERMANY,0.0
192035,GERMANY,0.0
192041,GERMANY,0.0
192053,GERMANY,0.0
192070,GERMANY,0.0
192072,GERMANY,0.0
192080,GERMANY,0.0
192088,GERMANY,0.0
195706,AUSTRALIA,0.0
195708,AUSTRALIA,0.0
195730,AUSTRALIA,0.0
195743,AUSTRALIA,1.0
195750,AUSTRALIA,0.0
195752,AUSTRALIA,0.0
195771,AUSTRALIA,0.0
195793,AUSTRALIA,0.0
199902,CHINA,0.0
199906,CHINA,0.0
199907,CHINA,0.0
199915,CHINA,0.0
199930,CHINA,0.0
199942,CHINA,0.0
199957,CHINA,0.0
199958,CHINA,0.0
199965,CHINA,0.0
199967,CHINA,0.0
199970,CHINA,0.0
199978,CHINA,0.0
199980,CHINA,0.0
199986,CHINA,0.0
199992,CHINA,0.0
199994,CHINA,0.0
199995,CHINA,0.0
199997,CHINA,0.0
211383,UNITED STATES,0.0
220003,RUSSIAN FEDERATION,0.0
220009,RUSSIAN FEDERATION,0.0
220018,RUSSIAN FEDERATION,0.0
220020,RUSSIAN FEDERATION,0.0
220025,RUSSIAN FEDERATION,0.0
220031,RUSSIAN FEDERATION,0.0
220062,RUSSIAN FEDERATION,0.0
220075,RUSSIAN FEDERATION,0.0
220077,RUSSIAN FEDERATION,0.0
220079,RUSSIAN FEDERATION,0.0
220080,RUSSIAN FEDERATION,0.0
220093,RUSSIAN FEDERATION,0.0
220099,RUSSIAN FEDERATION,0.0
220112,RUSSIAN FEDERATION,0.0
220117,RUSSIAN FEDERATION,0.0
220122,RUSSIAN FEDERATION,1.0
220141,RUSSIAN FEDERATION,0.0
220147,RUSSIAN FEDERATION,0.0
220177,RUSSIAN FEDERATION,0.0
220183,RUSSIAN FEDERATION,0.0
220187,RUSSIAN FEDERATION,0.0
220203,RUSSIAN FEDERATION,1.0
220205,RUSSIAN FEDERATION,0.0
220224,RUSSIAN FEDERATION,0.0
220229,RUSSIAN FEDERATION,0.0
220240,RUSSIAN FEDERATION,0.0
220250,RUSSIAN FEDERATION,0.0
220262,RUSSIAN FEDERATION,0.0
220275,RUSSIAN FEDERATION,0.0
